comment,author,date,num_likes
아 남자 살좀 빼라 그리고 쫌 묶어. 아 진짜 처제가 싫을만 함 쌩판 남인데..,ㅇㅇㅇ,2022-11-24T03:50:37Z,0
오히려 목회자 자녀들이 문제 있는 경우 많더라…. 은근 사고치는거 흔함,킹랄,2022-11-24T02:26:30Z,35
결론은 나있지만. 불안..불안..😅교회쌤도 남자야~~하니까<br>빵 터졌음~<br>중..중학생이였구나..,jessica paek,2022-11-23T21:07:06Z,11
더러워..,yuyuyun,2022-11-23T19:34:28Z,11
교회에서 10살 차이나는 미성년자한테 저러면 소름끼칠 것 같음;,L Mm,2022-11-23T15:20:45Z,125
@김에스더 성인과 성인이 만나서 애가진게 아니잖아요 지금.. ㅋㅋㅋ 비교를해도,하하어이구야,2022-12-02T08:42:56Z,0
@김에스더 연예인이 미성년자랑 결혼함? 잼민아 공부나해,YeC L,2022-12-02T04:16:08Z,0
@김에스더 ㅋㅋㅋㅋ연예인들은 재력과 능력이 있으니까 충분히 상대가 많이 어려도 커버가 되는거고 그럼에도 여유롭고 풍족한 삶을 보장받을 수 있으니까 결혼을 하는거구요 무슨 연예인과 일반인을 비교하죠...? 뭐 무슨 사랑으로 모든 것을 극복한다는 그런 마음에서 쓰신건 아니죠??? 나이차이 많은 연예인과 결혼하는 사람이 바보도 아니고 그럼에도 득이 많으니까 결혼을 하는거지...,찍찍이,2022-11-24T10:05:49Z,6
연예인들 10살 넘는 사람들 결혼 잘도 하두만<br><br>뭐가 문제지?,김에스더,2022-11-23T17:06:57Z,0
하......왜......대체.....뭣 땜에.......,김상록,2022-11-23T13:25:39Z,6
예수쟁이들의 민낯,배다른 민족,2022-11-23T13:09:50Z,1
"나이차이 많은거 문제 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 성인되도 10살차이 나서 결혼한 애들도 많다 .. 단지 미성년자 , 성인 이거였을뿐",이응,2022-11-23T13:06:05Z,50
"@keep pushing 미성년자 , 성인 이게 문제 라고 말하는거잖아 이양반아 자기멋대로 해석하고 있네",이응,2022-12-01T13:20:21Z,0
성인이 된 이후에 만나는 거랑 법적 미성년자 건드리는 거랑 같아요?&gt;단지 미성년자 성인 이거였을 뿐&lt; 그게 제일 문제인 거예요;;,keep pushing,2022-12-01T09:39:16Z,0
@H S 그건 둘 다 성인이잖아요,브루아카,2022-11-26T17:35:05Z,1
@123 rainbow 50살이나 60살이나 그게 그거 같던데???,H S,2022-11-26T08:18:13Z,0
10살 위의 사람 만날 수 있는지 생각해보셈,123 rainbow,2022-11-24T12:22:33Z,2
아 ㅆㅂ 제발 교회이름 더럽히지마;;;;;,taeaee,2022-11-23T12:54:12Z,0
"<a href=""https://www.youtube.com/watch?v=JwmIYquJBns&amp;t=7m40s"">7:40</a> 마자마자",키크고싶다,2022-11-23T12:45:15Z,1
이거 여호와의 증인이라는 얘기가 있음..,ES L,2022-11-23T12:44:35Z,14
여호와 신천지도 겉보기엔 그냥 평범해보여요ㅋㅋ 알면알수록 추악한곳이지만,SOW,2022-11-30T08:43:16Z,0
여호와의 증인은 아무리 이단이라지만 존나 꽉 막히게 보수적인 곳임 그리고 거기는 교회에서 짝을 지어주는 곳임 여호와의 증인일수가 없음 ㅋㅋㅋㅋ,밥 먹고싶다,2022-11-24T08:14:56Z,1
ㅈㄹ ㅋㅋㅋㅋㅋ걍 교회구만,배다른 민족,2022-11-23T13:09:23Z,12
⛪️ 오빠가 하나님의 은총을 제대로 받았넹 <br>전자발치와 결혼반지 는 종이한장차이인건가?,잘가 안녕,2022-11-23T12:38:27Z,30
양아치와 스승과 교회오빠는 하나다.,SOW,2022-11-30T08:40:19Z,1
이 양반이 뚫린입 닫아~~~<br>너나 잘해,김에스더,2022-11-23T17:09:56Z,0
성인이 미성년자랑<br>범죄아님?  ㄷㄷㄷ,정재동,2022-11-23T12:27:07Z,35
개독교 수준 진짜 어메이징하노,ᄅᄉ,2022-11-23T12:18:41Z,0
개독교 수준 진짜 어메이징하노,ᄅᄉ,2022-11-23T12:18:06Z,0
사고치고 나서 그때 생각 하자랑 뭐가 달라,최지현,2022-11-23T12:13:48Z,9
너무 여자가... 답답하다.,최지현,2022-11-23T12:12:04Z,9
10살차이 나는거 너무 많이봄. 나도 고3때  30살이랑 사귀어 본적 있는데 저건 남자나 여자나 서로 같이 조심하고 피임했어야지,최지현,2022-11-23T12:09:20Z,4
끼리끼리. 여자가 어디 하자있으면 가능,bc a,2022-11-24T05:35:26Z,0
자랑이다 자랑이야 어디가서 고삐리때 하라는 공부는 안하고 나이 서른쳐먹은 놈 만났었다고 꼭꼭꼭 말하렴,estdfi sn,2022-11-24T02:52:01Z,3
미자랑 10살차이나는게문제임.,뜌니,2022-11-23T14:32:38Z,8
뭔개소리냐..미성년자랑 성인이 같냐?,a._.a,2022-11-23T13:16:15Z,2
10살이나 더 쳐먹은 성인이 아무것도 모르는 미자랑 자고 다니는 건 범죄지..,J E,2022-11-23T12:56:36Z,24
교회오빠가 뭔짓이세요~~예수님 믿는 사람으로써 너무 부끄럽네요ㅠㅠ<br>이래서 기독교인들이 욕을 먹죠.<br>하나님을 제대로 아세요.<br>성경이 답이예요.<br>가장안전한 보호자는 하나님입니다.,짱 추,2022-11-23T12:08:45Z,33
성경이 답이라고??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 종교에서 답을 찾으려하니 저런꼴을 당한거지,SOW,2022-11-30T08:42:05Z,0
@김에스더이 보세요. 10살차이 결혼이 일반인이던 연예인이던 정상 아닙니다. 어린 여자만 만나고 싶어서 환장한 놈들이 99퍼입니다.,bc a,2022-11-24T05:32:18Z,0
@김에스더 목사님 아들과 결혼은 축복할일이지만~~<br>미성년자를 임신시킨 목사님아들 교회오빠는 잘못됐죠.,짱 추,2022-11-24T00:02:23Z,8
@김에스더 뭐가 문제냐니... 어휴 성인과 미성년자의 만남으로 인해 아이가 탄생했습니다^^! 이게 정상이니..?,나곧시험끝나,2022-11-23T21:19:05Z,12
저아는 분도 목사 아드님이랑 결혼해서 잘사는데 뭐가 문제지?,김에스더,2022-11-23T17:11:24Z,0
"이런 경우 때문에 교회가, 기독교인들이 욕먹는것 같은데,, 아니 미성년자를 애초에 여자로(이성) 보는거 자체가 이상한것 같은데",조달팽이,2022-11-23T10:54:04Z,59
나도 중고등부교사해봤지만<br>이건아니다 진짜ㅜㅜ<br>주여~~,수려하게~♡,2022-11-23T09:53:01Z,110
에스더 왜케 심술났노..<br>이름보니 교회인인것 같은데,강상현,2022-11-24T07:35:55Z,21
미성년자가 남자랑 자고 다니고 ㅉㅉ이다,소심이,2022-11-23T09:23:00Z,17
잠은 같이 안잤고 데이트와 생산작업만 차안에서 해결한듯해요.,SOW,2022-11-30T08:45:07Z,1
요즘 미성년자랑 10살 기본인 세상~~,김에스더,2022-11-23T17:12:42Z,0
교회쌤이라는 자가 어린학생을 바른길로 이끌어야 될 사람이 어린학생을 임신 시킨거 자체가 쓰레기네. 예수믿고 성령으로 인도 하는게 임신이냐? 하나님이 그렇게 가르치던?,성괴티르,2022-11-23T08:37:55Z,157
기독교 이슬람교 참 다를게 없어ㅋㅋㅋ 이슬람도 미성년자를 신부로 맞이한다고 하던데ㅋㅋ 그러면서 개독은 이슬람 욕하고 알라와 하나님이 다르다고 하는데ㅋㅋ 역사학자 종교학자들의 말로는 알라+하나님=유일신 이렇게 설명하고 목사들은 전혀 다른 존재라고함ㅋㅋ 근데 아무리 들어봐도 개소리같음. 대천사 가브리엘의 존재가 큰데ㅋㅋ 마리아에거 예수탄생을 예고했고 무함마드에겐 신의 계시를 전달한게 대천사 가브리엘인데 마리아에게 간 가브리엘과 무함마드에게 간 가브리엘은 또 다른 천사였나??ㅋㅋㅋㅋㅋ,SOW,2022-11-30T08:14:33Z,0
@김에스더 님 얘기도 아닌데 왤케 불타요… 혹시 같은 상황인가,Kelly -,2022-11-24T20:14:58Z,6
"@김에스더 돌+아이 냐, 정박아냐?",성괴티르,2022-11-24T11:48:35Z,6
연예인들은 성인되서 만나는거잖아 저거는 미성년자한태 사고친거고 멍청한사람아,김민수,2022-11-24T11:40:25Z,0
￼ 문제점을 제대로 모르네.. 미성년자를 건드렸다는 거 자체가 ..,은이쮜,2022-11-24T04:40:18Z,30
하...  29교회 오빠..  미성년자랑,Henna Lee,2022-11-23T08:25:02Z,33
고딩학생한테 고백한거야.헐<br>10살 차이나는 사람이 고백하면<br>난 기분나쁠듯.미치겠다.<br>목사아들하고 사귄거야.<br>모범이 되어야되는 목사아들이<br>애를ㅠ무슨생각으로😄,마이더스,2022-11-23T07:48:06Z,57
ㅂ,심s,2022-11-23T07:08:02Z,0
ㅂㅂㅂ,심s,2022-11-23T07:07:59Z,0
목사님만 지극히 상식적임. 만나더라도 고등학교 졸업하고 만났어야지…,유튜브중독,2022-11-23T06:56:46Z,151
10살 차이도 문제라면 문제지만.. 미성년자랑 성인이라고요 이사람들아... 그것도 종교시설에서...,펑펑,2022-11-23T06:39:53Z,460
@김에스더 지들이 문제를 인식을 해야지ㅡㅡ 더 낳을 생각하고 있잖아,노란바가지,2022-11-29T03:45:48Z,1
@이름 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 개웃기네,성이름,2022-11-25T10:46:19Z,4
@김에스더 님아 왤케 화났어여?,Kelly -,2022-11-24T20:16:01Z,0
자기네들이 알아서 하겠죠 사리분별 및 책임은 자기가 해결해야죠,불사조,2022-11-24T00:25:10Z,1
@김에스더 감나라 배나라는 어디에 있는 나라임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이름,2022-11-23T21:02:31Z,81
중2 학년생 어린아이를 10 년 더 쳐먹은 놈이 건드려서  애를 다섯이나 낳았구만 정말 애가 너무 어린 나이에 외롭움을 격다보니 금방 넘어간것 같구만 정말 ..,임똘똘이,2022-11-23T05:43:29Z,240
